Date,Time,Latitude,Longitude,Speed (km/h),Altitude (ft),Roll Angle (deg),Pitch Angle (deg),Roll Control Movement,Pitch Control Movement,Engine1 RPM,Engine1 Temp (°C),Engine2 RPM,Engine2 Temp (°C),Oil Warning,Hydraulic Warning,Pressure Warning,Low Fuel Warning,Undercarriage Position
2024-11-12,00:25:10,26.111056455399414,91.54357020852595,268.0034169997482,8821.321527806074,-13.436273422119019,15.254541877762023,-8.458219257781307,5.103040374249373,48.95806307322178,460.5104813134118,16.327916121931906,597.7224949563638,0,0,0,0,UP
2024-11-12,00:25:11,26.115958101468127,91.54228253411866,219.77903728989867,5997.918957616448,28.554851525560295,-7.9797739899153655,4.518212771219021,5.727604075304363,14.15138850136013,665.8680683549343,56.82218817980898,757.6720954081463,0,0,0,0,UP
2024-11-12,00:25:12,26.12080354048279,91.54100869998358,346.13717253804725,11637.305429897557,37.93411287132487,-14.166789733510292,4.078203834941647,-1.7308253936487503,50.2725225599204,510.9920723262381,14.104089943541432,388.73078936310367,0,0,0,0,DOWN
2024-11-12,00:25:13,26.12559299196057,91.53974865298468,269.29472024141694,9655.535901460706,-29.808716574120286,17.22286189664714,-5.3755454678940335,6.422735782403507,25.872440244602014,235.53013798888833,54.43939084483196,781.5252980922772,0,0,0,0,UP
2024-11-12,00:25:14,26.130326675418626,91.53850233998597,265.82109583401086,3488.1500173988406,-42.11504816581835,6.723961193600051,8.264830224139462,8.531627409531769,33.68927684767191,463.31821612405815,19.82002240471621,604.0043418253831,0,0,0,0,UP
2024-11-12,00:25:15,26.13500481037415,91.5372697078514,204.41214960216092,16852.93693724995,14.955357136637765,6.851931189441743,-5.172700347118095,-3.2482553609880664,75.07763156986374,322.31542992517643,12.688536601431421,514.2156521272076,0,0,0,0,UP
2024-11-12,00:25:16,26.13962761634428,91.53605070344496,392.23189144180304,7607.940350829371,-32.976235426906165,2.483228630868865,-2.9916206807495556,-6.001544940760657,63.50930563652577,286.3073219275656,73.70380517487492,557.1754487513908,0,0,0,0,UP
2024-11-12,00:25:17,26.14419531284621,91.53484527363067,262.77109892904383,725.8763998842894,27.202709313261025,-5.441122509682712,7.483353254328154,0.8468020010814818,25.70033706975544,558.8819455562038,24.15045465829967,493.0644196859883,0,0,0,0,UP
2024-11-12,00:25:18,26.1487081193971,91.53365336527247,395.19994806817317,3674.227262874677,37.63483301204947,15.159745529164837,-9.154812888257627,6.14437309900034,18.423677965844288,438.95659525747897,86.45997578458035,793.0155108168506,0,0,0,0,UP
2024-11-12,00:25:19,26.15316625551412,91.53247492523435,255.32453320748658,8275.11033872404,20.187826695149425,6.189241673043018,-0.6326157875619067,7.373640482848145,40.83195682385394,349.5327531735932,98.68636837181684,245.3641941914842,0,0,0,0,DOWN
2024-11-12,00:25:20,26.157569940714435,91.53130990038032,167.4121358806011,2119.6580973305754,9.887339408035004,-7.639338373298511,1.60626778574394,-1.402921300473018,73.73722053059142,614.6200009997483,10.627662927907167,277.51309729510143,0,0,0,0,UP
